"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5124","negativeEmailAddress","Default Suite","Thu Nov 14 19:56:11 WAT 2024","passed","Thu Nov 14 19:56:16 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","negativeEmailAddress"
"","8156","negativeSignUp","Default Suite","Thu Nov 14 04:31:31 WAT 2024","passed","Thu Nov 14 04:31:39 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","negativeSignUp"
"","8669","EmptyFields","Default Suite","Thu Nov 14 20:10:29 WAT 2024","passed","Thu Nov 14 20:10:38 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","EmptyFields"
"","19","negativeUsername","Default Suite","Thu Nov 14 19:56:11 WAT 2024","broken","Thu Nov 14 19:56:11 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","negativeUsername"
"","6843","negativePassword","Default Suite","Thu Nov 14 06:07:44 WAT 2024","passed","Thu Nov 14 06:07:51 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","negativePassword"
"","6303","clickUser1Item","Default Suite","Thu Nov 14 20:09:37 WAT 2024","passed","Thu Nov 14 20:09:44 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","clickUser1Item"
"","4177","clickUser2Item","Default Suite","Thu Nov 14 20:09:44 WAT 2024","passed","Thu Nov 14 20:09:48 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","clickUser2Item"
"","6896","PositiveSignUp","Default Suite","Thu Nov 14 20:09:30 WAT 2024","passed","Thu Nov 14 20:09:37 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","PositiveSignUp"
"","11825","InvalidUsername","Default Suite","Thu Nov 14 20:09:52 WAT 2024","passed","Thu Nov 14 20:10:04 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","InvalidUsername"
"","16161","WrongPassword","Default Suite","Thu Nov 14 20:10:13 WAT 2024","passed","Thu Nov 14 20:10:29 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","WrongPassword"
"","9449","InvalidEmailAddress","Default Suite","Thu Nov 14 20:10:04 WAT 2024","passed","Thu Nov 14 20:10:13 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","InvalidEmailAddress"
"","51","logoutSuccessfully2","Default Suite","Thu Nov 14 05:19:13 WAT 2024","broken","Thu Nov 14 05:19:13 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","logoutSuccessfully2"
"","3995","logoutSuccessfully","Default Suite","Thu Nov 14 20:09:48 WAT 2024","passed","Thu Nov 14 20:09:52 WAT 2024","SeleniumWebSignupTest","FacebookTest","SeleniumWebSignupTest","logoutSuccessfully"
